text,label
You have the most beautiful smile I've ever seen,flirt
"If I could rearrange the alphabet, I’d put U and I together",flirt
"Are you a magician? Because whenever I look at you, everyone else disappears",flirt
I can’t stop thinking about you,flirt
You make my heart skip a beat,flirt
"Your eyes are like the ocean, I could swim in them all day",flirt
I’d travel miles just to see your smile,flirt
"Every time you text me, I can’t help but smile",flirt
You’re the reason my phone lights up at night,flirt
I wish I could wake up next to you every day,flirt
You look amazing in that picture,flirt
I can’t wait to see you again,flirt
I feel lucky just knowing you,flirt
"If kisses were snowflakes, I’d send you a blizzard",flirt
You’re my favorite notification,flirt
My day gets better every time I hear from you,flirt
"Do you believe in love at first sight, or should I walk by again?",flirt
You’re sweeter than chocolate,flirt
I’m addicted to our conversations,flirt
You’re my happy place,flirt
Just the thought of you makes me smile,flirt
You make my world brighter,flirt
I love the way you make me feel,flirt
You’re always on my mind,flirt
I can’t imagine a day without you,flirt
You make my heart race,flirt
I’m falling for you more every day,flirt
You’re my sunshine,flirt
You’re too cute to be real,flirt
Every love song reminds me of you,flirt
I get butterflies when I see your name pop up,flirt
You’re my favorite distraction,flirt
You’re everything I’ve been looking for,flirt
I’m so glad we met,flirt
I could talk to you for hours and never get bored,flirt
You make even Mondays feel special,flirt
You’re dangerously charming,flirt
I think you’re my soulmate,flirt
My heart beats faster when you’re around,flirt
I miss you more than words can say,flirt
I wish you were here right now,flirt
"Every time I see you, you take my breath away",flirt
You’re like a dream come true,flirt
You have the cutest laugh,flirt
I can’t get you out of my head,flirt
You’re the highlight of my day,flirt
Your voice is my favorite sound,flirt
I’d rather be with you than anywhere else,flirt
I think you might be the one,flirt
You make me believe in love again,flirt
Please send me the report by tomorrow,non-flirt
Did you finish the homework?,non-flirt
I’ll call you after the meeting,non-flirt
The weather is nice today,non-flirt
Can you help me with this task?,non-flirt
What time is our flight?,non-flirt
Let’s meet at the café at 5 PM,non-flirt
I’m feeling tired today,non-flirt
We should go shopping this weekend,non-flirt
Don’t forget to bring your ID,non-flirt
The traffic was terrible this morning,non-flirt
I’ll be late for lunch,non-flirt
Please reply to the email,non-flirt
The match was amazing yesterday,non-flirt
I’m reading a great book,non-flirt
What’s the plan for tomorrow?,non-flirt
We need more coffee at home,non-flirt
I’m thinking of cooking pasta tonight,non-flirt
Call me when you’re free,non-flirt
We’re going to the park later,non-flirt
My phone battery is low,non-flirt
I need to finish my work first,non-flirt
The movie starts at 8 PM,non-flirt
Don’t forget to water the plants,non-flirt
Let’s have dinner together,non-flirt
I’m going to the gym,non-flirt
We need to buy groceries,non-flirt
The train was delayed,non-flirt
I’m feeling much better now,non-flirt
Can you send me the file?,non-flirt
I have a dentist appointment tomorrow,non-flirt
We’re out of milk,non-flirt
I’ll meet you at the station,non-flirt
Please check your messages,non-flirt
The presentation is ready,non-flirt
It’s raining outside,non-flirt
What’s for lunch?,non-flirt
We should start early tomorrow,non-flirt
The hotel was really nice,non-flirt
Can you book the tickets?,non-flirt
I’m working on the project now,non-flirt
Let’s go for a walk,non-flirt
Please clean the table,non-flirt
The food was delicious,non-flirt
We should visit them next week,non-flirt
The lights are not working,non-flirt
I’ll pay you back tomorrow,non-flirt
We’re watching TV,non-flirt
I’m going to sleep now,non-flirt
The festival starts next month,non-flirt
